230,224,224,224,398,224,224,398,224,224,398,224,224,224,231
225,110,110,110,399,110,110,399,110,110,399,110,110,110,225
225,384,482,40,40,40,40,40,40,40,40,40,482,384,225
225,384,482,42,200,201,202,43,200,201,202,44,482,384,225
225,384,482,42,203,204,205,43,203,204,205,44,482,384,225
225,384,482,42,43,43,43,43,43,43,43,44,482,384,225
225,384,482,42,43,43,43,43,43,43,43,44,482,384,225
225,384,482,42,43,43,508,508,508,43,43,44,482,384,225
225,384,482,42,43,43,43,43,43,43,43,44,482,384,225
225,384,482,65,66,66,46,43,45,66,66,67,482,384,225
225,384,482,482,482,482,42,43,44,482,482,482,482,384,225
225,384,384,384,384,206,42,43,44,206,384,384,384,384,225
225,384,384,384,384,207,42,43,44,207,384,384,384,384,225
225,384,384,384,384,384,42,43,44,384,384,384,384,384,225
225,224,224,224,224,457,301,66,303,457,224,224,224,224,225
225,110,110,110,110,489,333,384,335,489,110,110,110,110,225
225,384,384,384,384,384,384,384,384,384,384,384,384,384,225
225,384,384,384,384,384,384,77,384,384,384,384,384,384,225
228,234,234,234,234,234,234,234,234,234,234,234,234,234,229
110,110,110,110,110,110,110,110,110,110,110,110,110,110,110
